"","PID","YEAR","PROJECT_LENGTH","PROJECT_PAGE_LOCATION_STATE","CATEGORY","GOAL_IN_USD","PLEDGED_IN_USD","BACKERS_COUNT","SITE_PREDICTION","OUTCOME"
"93",729949354,2020,30,"CA","Film & Video",1750000,0,0,39,"failed    "
"94",1871654463,2021,30,"CA","Film & Video",1700000,145,4,45,"failed    "
"95",1563780371,2020,30,"CA","Games",1600000,731,9,57,"failed    "
"97",1769433178,2024,45,"CA","Film & Video",81519,8,2,57,"failed    "
"98",276930117,2020,28,"CA","Film & Video",1500000,25,1,59,"canceled  "
"99",300200694,2021,30,"NY","Film & Video",1500000,0,0,47,"failed    "
"100",1783822755,2020,30,"TX","Games",1500000,0,0,44,"canceled  "
"101",1832574380,2021,32,"NY","Film & Video",1500000,1,1,36,"failed    "
"103",833819804,2024,27,"CA","Comics",13700,47,3,36,"suspended "
"104",601924130,2021,35,"TX","Games",1500000,71,3,56,"canceled  "
"105",1726805303,2020,25,"NY","Art",1500000,25,9,69,"canceled  "
"106",682616980,2020,60,"CA","Art",1500000,0,0,48,"failed    "
"108",401901699,2021,60,"NY","Film & Video",2202695,0,0,65,"failed    "
"109",1330596979,2023,60,"CA","Film & Video",1500000,1,1,58,"failed    "
"110",1306196158,2020,43,"TX","Games",1459000,80,1,32,"canceled  "
"111",1580395852,2020,42,"CA","Film & Video",1450000,0,0,49,"failed    "
"112",1147535875,2020,45,"CA","Film & Video",1400000,0,0,36,"failed    "
"114",2022067289,2021,59,"CA","Film & Video",1350000,0,0,28,"failed    "
"115",569150381,2021,60,"NY","Film & Video",1019967,1,1,53,"failed    "
"116",1622596757,2020,60,"CA","Film & Video",1250000,115,2,53,"failed    "
"118",1381687471,2021,45,"TX","Film & Video",1200000,0,0,35,"canceled  "
"119",1987586006,2020,31,"NY","Film & Video",1200000,0,0,42,"canceled  "
"120",293149809,2020,60,"CA","Film & Video",1100000,284,8,38,"canceled  "
"122",1893733888,2020,60,"NY","Film & Video",1e+06,155,2,35,"failed    "
"123",1867477946,2021,60,"CA","Film & Video",1e+06,0,0,60,"failed    "
"124",742934297,2020,60,"NY","Film & Video",1e+06,0,0,62,"failed    "
"125",1935139731,2022,60,"CA","Games",1e+06,0,0,13,"failed    "
"126",1538301357,2021,33,"CA","Film & Video",1e+06,0,0,37,"failed    "
"127",2036704876,2025,60,"CA","Film & Video",1e+06,27,5,57,"failed    "
"128",832406968,2020,30,"TX","Art",1e+06,0,0,50,"canceled  "
"129",547432492,2021,30,"TX","Film & Video",1e+06,1,1,43,"failed    "
"130",1162469112,2021,30,"NY","Film & Video",1e+06,0,0,56,"failed    "
"131",1284849192,2020,13,"CA","Film & Video",1e+06,0,0,44,"failed    "
"132",1381494858,2020,31,"CA","Film & Video",1e+06,0,0,48,"failed    "
"133",240833080,2021,30,"TX","Film & Video",1043765,63,2,63,"failed    "
"134",252323218,2022,31,"CA","Film & Video",1e+06,792,18,41,"failed    "
"136",260224924,2023,59,"CA","Film & Video",1e+06,105,3,46,"failed    "
"137",1176528193,2024,30,"NY","Dance",1e+06,5,3,46,"failed    "
"138",1878711461,2021,60,"CA","Film & Video",1e+06,0,0,41,"canceled  "
"139",166646250,2021,47,"NY","Film & Video",1e+06,25,1,48,"failed    "
"141",17001460,2022,60,"TX","Film & Video",1e+06,1,1,57,"canceled  "
"142",2037157915,2021,55,"CA","Film & Video",1e+06,61,4,58,"failed    "
"143",1623983932,2020,30,"PA","Film & Video",1e+06,0,0,71,"canceled  "
"144",334125073,2023,30,"NY","Games",1e+06,46,3,48,"failed    "
"145",1397537928,2020,60,"TX","Film & Video",1e+06,30,2,57,"failed    "
"146",39012105,2022,59,"CA","Film & Video",1e+06,110,2,34,"failed    "
"148",796340170,2020,9,"CA","Film & Video",718320,0,0,51,"failed    "
"149",307500831,2024,35,"NY","Games",1e+06,226,6,43,"failed    "
"150",472277577,2020,60,"TX","Film & Video",1e+06,1,1,42,"failed    "
"151",1773647397,2021,7,"PA","Art",1e+06,40,2,34,"failed    "
"152",1953254821,2020,30,"TX","Games",1e+06,62,5,69,"failed    "
"153",1402370273,2020,30,"TX","Film & Video",1e+06,0,0,57,"failed    "
"154",410651072,2021,30,"PA","Film & Video",1e+06,25,1,27,"canceled  "
"156",1277907727,2020,60,"TX","Film & Video",1e+06,0,0,71,"failed    "
"157",1276008444,2021,7,"CA","Film & Video",1e+06,1,1,60,"failed    "
"159",1394422274,2021,30,"TX","Art",957000,40,2,40,"failed    "
"160",649480712,2024,14,"CA","Art",9e+05,122,6,57,"failed    "
"162",35273289,2020,30,"CA","Film & Video",9e+05,0,0,25,"failed    "
"164",591253031,2022,36,"CA","Games",850000,0,0,53,"failed    "
"165",1427426818,2022,60,"NY","Film & Video",825000,0,0,24,"canceled  "
"167",64104922,2024,43,"TX","Film & Video",8e+05,2,2,26,"failed    "
"170",821598646,2020,60,"TX","Games",8e+05,102,3,48,"failed    "
"171",1401115858,2022,56,"CA","Comics",8e+05,820,17,57,"failed    "
"172",496616502,2023,60,"TX","Games",8e+05,427,6,57,"failed    "
"174",519221952,2022,30,"CA","Film & Video",8e+05,1,1,69,"failed    "
"175",233531618,2020,30,"PA","Film & Video",8e+05,50,1,65,"failed    "
"176",1574610078,2020,60,"CA","Film & Video",8e+05,0,0,55,"canceled  "
"177",1259369798,2022,30,"TX","Film & Video",8e+05,0,0,24,"failed    "
"179",81914001,2021,30,"NY","Film & Video",780000,1,1,38,"failed    "
"181",2056488836,2020,30,"TX","Film & Video",750000,1,1,26,"failed    "
"183",558814439,2020,25,"NY","Games",750000,0,0,62,"canceled  "
"184",1915403064,2021,34,"TX","Film & Video",750000,0,0,65,"failed    "
"187",78714804,2020,30,"PA","Film & Video",750000,29,5,49,"failed    "
"188",90161697,2024,60,"CA","Film & Video",750000,1,1,72,"failed    "
"189",93717540,2021,60,"NY","Film & Video",750000,0,0,45,"canceled  "
"190",699985996,2020,30,"TX","Film & Video",750000,0,0,50,"failed    "
"191",357114728,2020,30,"TX","Film & Video",750000,0,0,80,"failed    "
"192",988609698,2024,60,"NY","Games",39419,38,3,51,"failed    "
"193",1869070290,2020,37,"CA","Film & Video",750000,25,1,55,"canceled  "
"195",339746347,2020,57,"NY","Film & Video",750000,310,5,55,"failed    "
"197",2024558541,2021,20,"CA","Art",750000,501,2,71,"failed    "
"198",1990792530,2020,60,"NY","Art",7e+05,3,3,59,"failed    "
"199",498505629,2020,30,"CA","Dance",7e+05,291,5,49,"failed    "
"200",227970285,2023,30,"CA","Film & Video",7e+05,381,11,50,"failed    "
"201",1586854034,2022,30,"TX","Film & Video",7e+05,50,2,42,"failed    "
"202",1884724169,2021,32,"PA","Film & Video",7e+05,67,4,54,"failed    "
"203",970909379,2022,32,"NY","Games",7e+05,20,1,61,"canceled  "
"204",656317117,2025,33,"TX","Film & Video",7e+05,6,2,75,"failed    "
"205",3064843,2022,30,"NY","Games",7e+05,1,1,49,"canceled  "
"206",1764568135,2022,40,"TX","Games",680000,65,3,35,"failed    "
"211",2119901834,2025,30,"TX","Games",633000,195,7,58,"failed    "
"212",785256341,2020,30,"TX","Film & Video",625000,225,3,55,"canceled  "
"214",635940523,2020,35,"NY","Dance",6e+05,1,1,50,"failed    "
"215",280279505,2020,30,"CA","Film & Video",6e+05,10,1,36,"canceled  "
"218",1846857586,2023,50,"CA","Film & Video",6e+05,1,1,76,"failed    "
"220",1398463833,2022,30,"CA","Film & Video",6e+05,451,9,51,"canceled  "
"223",355890541,2020,30,"CA","Film & Video",6e+05,298,7,40,"failed    "
"224",230372764,2020,49,"CA","Art",550000,391,10,36,"failed    "
"228",359374141,2021,15,"NY","Film & Video",510000,708,9,80,"canceled  "
"229",1710803672,2022,60,"CA","Film & Video",5e+05,11,1,41,"failed    "
"230",1113022552,2024,30,"NY","Film & Video",5e+05,1,1,49,"failed    "
"231",816802042,2021,30,"NY","Film & Video",5e+05,0,0,70,"canceled  "
"232",491948968,2022,30,"CA","Games",5e+05,0,0,49,"canceled  "
"233",322524181,2021,30,"PA","Games",5e+05,1,1,53,"failed    "
"235",1768413247,2021,40,"CA","Film & Video",5e+05,10,1,31,"canceled  "
"236",1893628125,2023,37,"PA","Film & Video",5e+05,50,1,63,"failed    "
"237",1725524443,2020,60,"TX","Film & Video",5e+05,0,0,59,"failed    "
"238",1982081182,2020,30,"TX","Film & Video",5e+05,30,1,50,"failed    "
"239",2029486494,2023,34,"CA","Film & Video",5e+05,0,0,56,"canceled  "
"241",1906770048,2023,60,"CA","Film & Video",5e+05,1,1,48,"failed    "
"242",411592258,2021,30,"CA","Games",5e+05,876,29,60,"canceled  "
"243",1407909615,2021,60,"TX","Film & Video",5e+05,345,5,29,"failed    "
"244",37349793,2021,30,"TX","Games",5e+05,15,3,10,"canceled  "
"245",382626790,2021,60,"CA","Games",5e+05,32,3,50,"failed    "
"246",2100669640,2024,45,"NY","Film & Video",5e+05,439,9,54,"failed    "
"247",816148969,2022,60,"PA","Games",5e+05,2,2,61,"failed    "
"248",1253059277,2023,30,"NY","Dance",5e+05,1,1,57,"failed    "
"249",821297789,2020,60,"TX","Games",5e+05,65,2,16,"failed    "
"250",1368984045,2020,60,"PA","Games",5e+05,10,1,41,"failed    "
"251",2046182548,2022,30,"CA","Film & Video",5e+05,301,6,36,"failed    "
"253",683785790,2021,30,"TX","Games",5e+05,0,0,55,"failed    "
"255",1715157051,2021,60,"PA","Games",5e+05,32,4,58,"failed    "
"256",1098134129,2021,15,"NY","Film & Video",5e+05,15,1,47,"failed    "
"257",1976108252,2022,60,"CA","Film & Video",5e+05,38,2,51,"failed    "
"258",2113254681,2023,60,"CA","Film & Video",5e+05,1,1,50,"canceled  "
"259",237453240,2025,48,"TX","Film & Video",5e+05,61,2,55,"failed    "
"261",317329783,2020,60,"CA","Games",5e+05,500,1,29,"failed    "
"262",508682750,2020,30,"PA","Film & Video",5e+05,0,0,38,"failed    "
"263",206494120,2023,60,"PA","Film & Video",5e+05,12,3,67,"failed    "
"264",35012487,2021,60,"CA","Art",5e+05,116,5,51,"failed    "
"265",1759958465,2024,60,"CA","Film & Video",5e+05,6,2,46,"canceled  "
"266",1107888798,2022,30,"CA","Film & Video",5e+05,51,2,34,"failed    "
"267",384815844,2023,60,"CA","Art",5e+05,2,2,47,"canceled  "
"268",1518779132,2024,60,"CA","Film & Video",5e+05,15,3,51,"failed    "
"269",1812153368,2020,50,"TX","Games",5e+05,8,1,44,"failed    "
"271",71874292,2023,60,"NY","Comics",5e+05,108,3,41,"failed    "
"272",1092526138,2021,30,"CA","Film & Video",5e+05,0,0,54,"failed    "
"273",1302549650,2023,30,"TX","Film & Video",5e+05,0,0,55,"failed    "
"276",403418788,2023,30,"NY","Games",5e+05,0,0,70,"failed    "
"278",986112110,2022,31,"CA","Games",5e+05,0,0,62,"canceled  "
"279",391108752,2020,30,"CA","Film & Video",5e+05,0,0,55,"failed    "
"280",1712421433,2020,60,"PA","Games",5e+05,35,4,55,"failed    "
"281",1709673441,2024,60,"NY","Games",5e+05,1,1,53,"canceled  "
"282",1266285907,2024,40,"TX","Film & Video",5e+05,126,4,71,"failed    "
"283",1227832784,2022,60,"CA","Film & Video",5e+05,21,2,58,"canceled  "
"284",589537859,2021,60,"CA","Games",5e+05,21,2,48,"canceled  "
"285",1888659803,2020,60,"CA","Film & Video",5e+05,207,3,41,"canceled  "
"287",1245466723,2025,60,"CA","Film & Video",541189,1,1,49,"failed    "
"289",1800283707,2022,30,"TX","Film & Video",5e+05,0,0,65,"failed    "
"290",1758635915,2025,30,"CA","Film & Video",5e+05,0,0,47,"canceled  "
"291",1726788819,2020,60,"CA","Film & Video",5e+05,26,2,47,"failed    "
"292",194775528,2020,60,"NY","Games",5e+05,1,1,64,"failed    "
"293",963716946,2022,60,"CA","Film & Video",5e+05,56,2,45,"failed    "
"294",638453991,2021,24,"NY","Film & Video",5e+05,1,1,52,"failed    "
"296",577981842,2022,60,"PA","Film & Video",5e+05,0,0,67,"failed    "
"297",860982714,2021,60,"CA","Art",498000,930,13,60,"failed    "
"299",1258205592,2020,35,"TX","Film & Video",490000,50,4,38,"canceled  "
"300",1352009103,2021,30,"CA","Art",478000,65,4,35,"failed    "
"301",235323018,2025,59,"NY","Comics",470000,22,3,19,"failed    "
