"","PID","YEAR","PROJECT_LENGTH","PROJECT_PAGE_LOCATION_STATE","CATEGORY","GOAL_IN_USD","PLEDGED_IN_USD","BACKERS_COUNT","SITE_PREDICTION","OUTCOME"
"8683",532525212,2023,30,"TX","Art",615,0,0,80,"canceled  "
"8685",1368770628,2025,60,"CA","Film & Video",11300,668,6,54,"failed    "
"8686",7147901,2023,15,"CA","Film & Video",11290,1,1,47,"canceled  "
"8687",110978261,2021,60,"CA","Film & Video",11250,209,6,39,"failed    "
"8691",564273811,2025,45,"CA","Film & Video",11200,28,4,67,"failed    "
"8692",66680528,2025,48,"CA","Film & Video",11200,6,2,43,"failed    "
"8696",1659116687,2025,60,"NY","Film & Video",11200,13,3,51,"failed    "
"8703",1476241841,2021,30,"CA","Film & Video",11111,0,0,49,"canceled  "
"8704",294687113,2020,30,"CA","Film & Video",11111,590,7,35,"failed    "
"8706",860910510,2023,30,"CA","Art",11110,397,10,30,"failed    "
"8710",1795096300,2020,31,"CA","Film & Video",8841,80,1,50,"failed    "
"8717",1475573720,2021,30,"NY","Games",11000,449,8,54,"failed    "
"8719",1313294203,2024,60,"NY","Games",11000,363,9,44,"failed    "
"8725",1309285677,2023,27,"CA","Film & Video",11000,0,0,59,"failed    "
"8734",1477062132,2025,40,"NY","Art",11000,461,8,43,"failed    "
"8737",324334233,2021,31,"CA","Film & Video",11000,0,0,44,"failed    "
"8738",2059181560,2022,31,"CA","Games",11000,744,17,61,"failed    "
"8744",1494511188,2025,60,"NY","Art",11000,177,7,50,"failed    "
"8746",1047157796,2023,30,"TX","Games",11000,104,5,33,"failed    "
"8748",95630473,2023,40,"CA","Games",11000,895,22,49,"failed    "
"8752",1023253835,2020,30,"CA","Art",11000,650,6,42,"failed    "
"8760",1978901227,2021,29,"CA","Film & Video",11000,25,1,54,"failed    "
"8774",2105902349,2023,60,"NY","Film & Video",11000,46,2,49,"failed    "
"8780",1060053023,2023,56,"CA","Comics",11000,265,6,64,"canceled  "
"8788",1749464681,2022,30,"TX","Art",10700,755,22,35,"failed    "
"8790",738028769,2023,50,"TX","Games",10674,17,4,47,"failed    "
"8791",811726794,2021,30,"PA","Games",10600,20,3,63,"failed    "
"8799",1144908540,2022,60,"TX","Film & Video",10500,450,5,49,"failed    "
"8801",2111146834,2024,30,"TX","Games",10500,775,11,46,"canceled  "
"8802",2070941340,2025,30,"CA","Comics",10500,71,7,57,"canceled  "
"8804",344904942,2021,30,"NY","Film & Video",10500,0,0,41,"canceled  "
"8805",13606656,2022,60,"NY","Film & Video",10500,425,6,38,"failed    "
"8806",27537750,2020,30,"CA","Film & Video",10500,240,3,56,"failed    "
"8807",1493623183,2021,30,"CA","Games",10500,151,4,42,"canceled  "
"8810",620848765,2020,30,"CA","Art",10500,158,3,64,"failed    "
"8820",751682264,2024,60,"TX","Art",10500,59,5,55,"canceled  "
"8824",510992334,2023,60,"PA","Games",10500,618,22,40,"failed    "
"8825",110459567,2020,30,"CA","Games",10500,367,26,42,"failed    "
"8836",1485429205,2023,27,"CA","Art",10150,160,6,49,"failed    "
"8841",1879054113,2021,37,"CA","Games",10007,195,9,60,"failed    "
"8843",1849496093,2020,57,"CA","Film & Video",10000,0,0,38,"failed    "
"8846",1702330603,2025,30,"TX","Film & Video",10000,51,2,52,"canceled  "
"8851",2043676380,2020,30,"CA","Film & Video",10000,10,1,68,"failed    "
"8852",1779756632,2020,40,"NY","Art",10000,0,0,68,"failed    "
"8853",2015242836,2021,49,"PA","Games",10000,7,3,45,"failed    "
"8854",626002309,2024,30,"TX","Games",10000,1,1,33,"canceled  "
"8860",363522827,2020,30,"CT","Art",10000,275,6,62,"failed    "
"8861",1530956097,2021,30,"TX","Art",10000,20,2,39,"failed    "
"8869",1210664304,2023,36,"CA","Film & Video",10000,0,0,77,"failed    "
"8871",375910151,2024,24,"CA","Film & Video",10000,11,2,44,"failed    "
"8872",455414483,2021,30,"NY","Film & Video",10000,551,7,62,"canceled  "
"8874",965049417,2025,30,"NY","Film & Video",10000,572,15,52,"failed    "
"8875",225441743,2022,30,"TX","Games",10000,538,13,62,"canceled  "
"8880",925607299,2024,26,"CA","Games",10000,61,4,66,"failed    "
"8881",1666153650,2023,60,"CA","Games",10000,41,4,52,"failed    "
"8882",712067298,2021,45,"CA","Games",10000,310,4,66,"failed    "
"8888",1691775931,2021,33,"CA","Games",10000,715,23,35,"canceled  "
"8889",380811547,2024,59,"TX","Games",10000,97,10,62,"failed    "
"8894",1396791861,2021,59,"CA","Games",10000,29,3,46,"failed    "
"8896",1266209260,2021,30,"NY","Games",10000,161,4,43,"suspended "
"8897",1954619871,2020,30,"CA","Film & Video",10000,20,1,60,"canceled  "
"8899",253949084,2021,45,"PA","Film & Video",10000,0,0,45,"suspended "
"8902",1683934896,2020,60,"PA","Games",10000,128,7,70,"failed    "
"8903",2092534153,2020,35,"CA","Film & Video",10000,0,0,32,"failed    "
"8920",1518696728,2021,60,"PA","Film & Video",10000,0,0,67,"canceled  "
"8921",166065496,2024,30,"TX","Games",10000,814,40,49,"failed    "
"8923",1023714455,2021,30,"CA","Art",10000,0,0,53,"failed    "
"8924",1481752271,2020,28,"NY","Film & Video",10000,625,9,56,"failed    "
"8927",155921961,2021,44,"NY","Film & Video",10000,1,1,58,"failed    "
"8928",575883669,2023,60,"CA","Film & Video",10000,26,2,47,"failed    "
"8931",590694004,2021,30,"TX","Film & Video",10000,165,2,39,"failed    "
"8932",729947420,2022,30,"CA","Art",10000,17,3,47,"failed    "
"8936",817839638,2023,30,"CA","Games",10000,771,14,56,"failed    "
"8937",664541395,2023,32,"NY","Games",10000,165,7,42,"failed    "
"8941",325720239,2023,30,"CA","Dance",10000,1,1,31,"failed    "
"8945",843524325,2021,60,"CA","Film & Video",10000,6,2,48,"failed    "
"8946",517766810,2020,30,"CA","Comics",10000,36,2,38,"failed    "
"8949",1900837849,2024,34,"NY","Games",10000,962,8,73,"failed    "
"8950",165512481,2020,30,"NY","Games",10000,82,4,50,"canceled  "
"8955",1360193383,2020,30,"TX","Film & Video",10000,10,1,28,"failed    "
"8956",1704525396,2020,13,"CA","Art",10000,0,0,74,"canceled  "
"8958",1465443084,2020,15,"NY","Film & Video",10000,0,0,34,"failed    "
"8959",1671243879,2020,30,"CA","Art",10000,0,0,32,"failed    "
"8963",178012157,2024,30,"PA","Games",10000,752,24,49,"failed    "
"8965",1896768832,2021,30,"CA","Film & Video",10000,1,1,62,"failed    "
"8971",1684444351,2021,60,"CA","Film & Video",10000,0,0,47,"canceled  "
"8972",903372273,2024,30,"NY","Games",10000,226,9,31,"failed    "
"8973",1819805275,2020,56,"CA","Games",10000,17,3,57,"failed    "
"8975",1942526724,2020,60,"NY","Games",10000,61,4,46,"failed    "
"8979",1373675943,2024,30,"CA","Film & Video",10000,1,1,56,"canceled  "
"8982",756197947,2023,45,"TX","Comics",10000,35,2,41,"failed    "
"8988",520501151,2024,19,"NY","Art",10000,12,3,34,"failed    "
"8989",767534096,2021,30,"NY","Film & Video",10000,1,1,61,"failed    "
"8992",2081751615,2024,30,"CA","Games",10000,750,29,45,"failed    "
"8996",819679096,2020,60,"CA","Film & Video",10000,10,1,46,"failed    "
"8997",1628704568,2025,30,"CA","Art",10000,101,3,48,"failed    "
"8998",1187495107,2020,30,"NY","Art",10000,0,0,39,"failed    "
"8999",283951604,2023,30,"NY","Film & Video",10000,627,17,42,"failed    "
"9001",1926570330,2023,60,"TX","Film & Video",10000,1,1,45,"failed    "
"9003",1440222496,2022,30,"CA","Games",10000,110,2,62,"canceled  "
"9004",1807356878,2023,60,"CA","Film & Video",10000,11,2,70,"failed    "
"9005",1937351332,2021,30,"TX","Games",10000,881,30,51,"failed    "
"9007",1551561171,2021,29,"CA","Games",10000,116,4,55,"failed    "
"9008",1287111176,2021,30,"CA","Film & Video",10000,1,1,48,"failed    "
"9015",1630786095,2021,30,"TX","Film & Video",10000,155,3,62,"failed    "
"9016",1923082775,2020,60,"CA","Film & Video",10000,0,0,35,"failed    "
"9017",1643770610,2023,35,"CA","Film & Video",10000,2,2,37,"failed    "
"9021",543703641,2021,30,"NY","Film & Video",10000,122,5,36,"failed    "
"9024",1368838638,2024,9,"TX","Games",10000,1,1,45,"failed    "
"9027",1600414308,2022,30,"CA","Art",10000,0,0,46,"failed    "
"9028",343044570,2021,30,"NY","Film & Video",10000,565,13,55,"failed    "
"9029",1374580437,2024,7,"NY","Film & Video",10000,2,2,53,"failed    "
"9033",327405152,2022,45,"NY","Games",10000,175,4,31,"canceled  "
"9034",438507327,2020,30,"PA","Film & Video",10000,0,0,45,"failed    "
"9036",1479787591,2020,30,"NY","Art",10000,0,0,34,"failed    "
"9041",1224023853,2022,30,"NY","Film & Video",10000,301,5,40,"failed    "
"9043",455837425,2020,59,"NY","Film & Video",10000,26,1,58,"failed    "
"9047",1743385606,2022,30,"CA","Art",10000,0,0,58,"failed    "
"9048",178129466,2024,60,"NY","Art",10000,26,2,37,"failed    "
"9049",1636369335,2022,44,"CA","Games",10000,921,21,63,"failed    "
"9055",483438011,2020,60,"NY","Film & Video",10000,0,0,34,"failed    "
"9056",768095019,2020,29,"NY","Film & Video",10000,1,1,67,"canceled  "
"9058",1641161831,2021,60,"CA","Art",10000,126,3,41,"failed    "
"9060",751157182,2020,35,"PA","Film & Video",10000,2,2,52,"failed    "
"9061",625557630,2020,30,"TX","Games",10000,96,4,33,"failed    "
"9062",2008101938,2021,59,"NY","Film & Video",10000,186,16,37,"failed    "
"9063",231717777,2020,30,"PA","Games",10000,385,4,62,"failed    "
"9064",1234605242,2025,6,"NY","Film & Video",10000,16,2,59,"canceled  "
"9065",1696296063,2020,33,"NY","Film & Video",10000,60,2,48,"failed    "
"9067",2102539244,2020,30,"TX","Games",10000,215,6,55,"canceled  "
"9072",1288341373,2023,60,"CA","Games",10000,116,7,31,"failed    "
"9077",1750096323,2020,25,"TX","Film & Video",10000,5,1,35,"failed    "
"9078",1635905865,2021,30,"PA","Games",10000,25,1,45,"failed    "
"9085",1108346080,2024,30,"CA","Games",10000,558,7,39,"failed    "
"9086",787360012,2020,30,"NY","Art",10000,542,9,45,"failed    "
"9090",7901630,2021,20,"NY","Film & Video",10000,1,1,47,"failed    "
"9091",1095535589,2024,30,"CA","Film & Video",10000,1,1,38,"failed    "
"9092",1741418602,2022,60,"NY","Art",10000,0,0,41,"canceled  "
"9093",1555517596,2021,60,"CA","Film & Video",10000,52,3,57,"failed    "
"9094",617384658,2023,30,"CA","Games",10000,169,11,29,"failed    "
"9095",1718488515,2021,30,"CT","Comics",10000,1,1,55,"canceled  "
"9096",630995205,2020,33,"CA","Film & Video",10000,287,8,68,"failed    "
"9097",857046278,2020,32,"CA","Games",10000,560,8,44,"canceled  "
"9103",1795346199,2021,40,"CA","Film & Video",10000,80,3,35,"canceled  "
"9108",1156798470,2020,32,"CA","Art",10000,489,11,35,"failed    "
"9113",1835417514,2020,15,"NY","Film & Video",10000,0,0,49,"failed    "
"9114",351847015,2020,30,"TX","Art",10000,0,0,53,"canceled  "
"9120",1900634367,2023,40,"TX","Film & Video",10000,0,0,44,"failed    "
"9122",381234681,2025,45,"CA","Film & Video",10000,226,11,59,"canceled  "
"9123",1584106703,2021,60,"TX","Art",10000,2,2,72,"failed    "
"9126",1341119359,2025,30,"CA","Games",10000,122,7,69,"failed    "
"9127",1197549740,2020,35,"PA","Games",10000,80,4,41,"failed    "
"9128",1506049685,2020,30,"CA","Games",10000,0,0,40,"failed    "
"9129",1718506353,2020,60,"PA","Comics",10000,622,16,72,"failed    "
"9132",1987450405,2021,30,"NY","Film & Video",10000,86,2,48,"canceled  "
"9133",2006938309,2024,53,"NY","Art",10000,1,1,57,"failed    "
"9140",1040281907,2020,31,"CA","Film & Video",10000,12,1,45,"canceled  "
"9142",420516143,2021,30,"NY","Art",10000,30,1,51,"failed    "
"9144",1090565590,2022,30,"CA","Games",10000,105,3,54,"canceled  "
"9146",1520154772,2025,30,"NY","Games",10000,77,4,57,"failed    "
"9152",1583298427,2025,60,"PA","Games",10000,495,19,22,"failed    "
"9154",435099597,2021,30,"PA","Film & Video",10000,51,2,33,"failed    "
"9156",294189351,2024,30,"CA","Film & Video",10000,1,1,60,"failed    "
"9159",1282009911,2023,60,"TX","Games",10000,402,16,61,"failed    "
"9163",1607866764,2023,30,"NY","Art",10000,1,1,38,"failed    "
"9171",727123992,2023,30,"CA","Games",10000,0,0,46,"failed    "
"9173",1396422470,2021,11,"NY","Film & Video",10000,5,1,41,"failed    "
"9174",1161967255,2023,30,"CA","Film & Video",10000,51,2,40,"failed    "
"9175",227555069,2021,30,"PA","Games",10000,13,2,54,"failed    "
"9177",2060002530,2022,30,"NY","Film & Video",10000,0,0,60,"failed    "
"9179",40940064,2022,30,"NY","Film & Video",10000,215,3,43,"failed    "
"9180",1343431871,2020,30,"TX","Games",10000,400,8,57,"canceled  "
"9182",915482271,2021,30,"TX","Film & Video",10000,743,7,49,"canceled  "
"9184",669028144,2023,30,"CA","Games",10000,92,5,57,"failed    "
"9185",1922160285,2022,30,"CA","Comics",10000,36,2,62,"failed    "
"9186",1888943201,2022,30,"TX","Art",10000,4,1,54,"failed    "
"9187",1987572900,2021,30,"NY","Film & Video",10000,51,2,62,"failed    "
"9190",1563770441,2022,60,"CA","Comics",11193,426,7,21,"failed    "
"9194",1384758303,2021,30,"PA","Film & Video",10000,100,1,46,"failed    "
"9195",349808499,2022,60,"CA","Film & Video",10000,70,3,39,"failed    "
"9196",2144551595,2020,30,"CA","Games",10000,6,2,38,"suspended "
"9199",1453279473,2020,30,"CA","Film & Video",10000,12,1,34,"canceled  "
"9202",676159406,2020,31,"CA","Film & Video",10000,60,2,41,"canceled  "
"9205",417460819,2023,60,"PA","Film & Video",10000,356,11,60,"failed    "
"9206",1031235031,2025,30,"NY","Film & Video",10000,2,2,40,"failed    "
"9207",120840294,2022,30,"CA","Art",10000,0,0,36,"failed    "
"9208",83203964,2021,60,"CA","Comics",10000,0,0,38,"failed    "
"9209",1834785404,2021,24,"CA","Film & Video",10000,0,0,45,"suspended "
"9216",701346734,2020,30,"TX","Film & Video",10000,0,0,55,"failed    "
"9217",1027298226,2022,30,"CA","Film & Video",10000,55,3,74,"canceled  "
"9219",712428801,2025,30,"TX","Games",453,63,5,37,"canceled  "
"9223",1694771804,2020,25,"CA","Film & Video",10000,35,2,63,"canceled  "
"9229",936651610,2022,30,"CA","Film & Video",10000,55,2,48,"failed    "
"9235",1644425113,2025,30,"TX","Games",10000,506,15,81,"canceled  "
"9237",356818908,2022,31,"CA","Games",10000,900,13,63,"failed    "
"9240",1473949596,2025,60,"CA","Art",10000,421,11,48,"failed    "
"9241",1482263243,2022,45,"CT","Art",10000,5,1,57,"failed    "
"9242",715712044,2022,40,"CA","Film & Video",10000,11,2,43,"failed    "
"9243",1514105010,2024,58,"TX","Film & Video",10000,296,7,40,"failed    "
"9244",1385598209,2024,30,"PA","Games",10000,852,15,77,"canceled  "
"9245",1747716840,2020,30,"CA","Art",10000,100,1,26,"failed    "
"9247",1076541067,2024,25,"CA","Art",10000,226,4,44,"failed    "
"9249",573461253,2022,30,"NY","Art",10000,0,0,56,"failed    "
"9253",96955295,2020,60,"CA","Film & Video",10000,0,0,54,"failed    "
"9255",2046498791,2020,45,"TX","Film & Video",10000,1,1,65,"failed    "
"9258",900534096,2020,45,"PA","Comics",10000,115,6,49,"canceled  "
"9260",1660705250,2020,30,"NY","Dance",10000,0,0,53,"failed    "
"9262",1151227493,2022,60,"TX","Art",10000,0,0,57,"suspended "
"9263",1977393206,2021,30,"TX","Games",10000,500,8,45,"failed    "
"9264",147520438,2025,60,"TX","Art",10000,1,1,48,"canceled  "
"9265",614123211,2023,30,"TX","Film & Video",10000,60,2,43,"failed    "
"9267",1161309650,2020,30,"CA","Film & Video",10000,215,3,48,"failed    "
"9268",1187637537,2024,60,"CA","Art",10000,1,1,55,"failed    "
"9276",1105089917,2020,30,"NY","Games",10000,400,15,46,"failed    "
"9277",1120242556,2020,30,"CA","Games",10000,717,17,60,"failed    "
"9278",1484986505,2022,30,"PA","Games",10000,110,3,53,"failed    "
"9279",1438384159,2023,40,"CA","Film & Video",10000,50,1,37,"failed    "
"9281",2938551,2022,30,"CA","Film & Video",10000,40,1,39,"canceled  "
"9285",2025819403,2023,28,"CA","Film & Video",10000,10,1,61,"failed    "
"9286",993240990,2022,60,"CA","Comics",10000,10,1,30,"failed    "
"9287",1274212601,2023,33,"CA","Comics",10000,51,3,46,"failed    "
"9290",1931853832,2021,10,"CA","Film & Video",10000,0,0,41,"failed    "
"9294",1485075941,2021,30,"PA","Games",10000,207,4,42,"failed    "
"9295",1509041898,2021,60,"CT","Dance",10000,0,0,64,"failed    "
"9297",698494520,2024,60,"CT","Comics",10000,1,1,48,"failed    "
"9298",868602519,2021,60,"NY","Games",10000,0,0,77,"canceled  "
"9305",1607425228,2024,30,"CA","Film & Video",10000,1,1,41,"canceled  "
"9308",1352935461,2024,28,"NY","Film & Video",10000,11,2,59,"failed    "
"9314",1365031842,2024,30,"TX","Games",10000,498,13,69,"failed    "
"9315",851076198,2020,60,"NY","Film & Video",10000,55,2,49,"failed    "
"9316",463587430,2024,30,"CA","Games",10000,658,11,39,"failed    "
"9320",1334644650,2021,30,"NY","Art",10000,0,0,58,"failed    "
"9326",2002204115,2022,30,"PA","Games",10000,76,6,68,"failed    "
"9329",1848914894,2020,31,"TX","Games",10000,809,31,53,"failed    "
"9330",1627593664,2021,30,"CA","Art",10000,1,1,48,"failed    "
"9331",1241908660,2020,30,"CA","Games",10000,109,4,63,"canceled  "
"9335",1334378929,2020,30,"CA","Art",10000,134,10,45,"failed    "
"9337",20638682,2020,32,"NY","Film & Video",10000,10,1,53,"canceled  "
"9349",950608829,2020,59,"NY","Dance",10000,0,0,64,"failed    "
"9352",1383789280,2025,25,"CA","Art",10000,532,9,51,"failed    "
"9353",1920003269,2020,60,"CA","Art",10000,1,1,51,"failed    "
"9358",530562020,2023,60,"NY","Film & Video",10000,0,0,63,"failed    "
"9360",106980026,2020,30,"CA","Film & Video",10000,213,3,64,"failed    "
"9361",1955017338,2020,29,"CA","Film & Video",10000,0,0,45,"failed    "
"9362",972684047,2020,60,"TX","Film & Video",10000,1,1,49,"failed    "
"9366",669775333,2025,30,"CA","Games",7093,95,6,52,"failed    "
"9367",1348476311,2021,30,"CA","Games",10000,168,8,43,"failed    "
"9368",1353905467,2021,5,"CA","Film & Video",10000,0,0,54,"canceled  "
"9370",1640856704,2023,30,"CA","Games",10000,42,3,55,"failed    "
"9371",444548902,2020,29,"CA","Film & Video",10000,0,0,65,"failed    "
"9372",2124941995,2023,51,"TX","Art",10000,6,2,59,"failed    "
"9373",1331733830,2023,30,"CA","Film & Video",10000,200,2,65,"failed    "
"9376",423278438,2020,33,"PA","Film & Video",10000,255,5,68,"failed    "
"9378",493867554,2024,60,"CA","Art",10000,3,3,49,"failed    "
"9381",769725383,2021,33,"NY","Games",10000,687,27,44,"failed    "
"9382",1327246120,2021,50,"CA","Film & Video",10000,1,1,50,"failed    "
"9383",910460570,2020,30,"NY","Film & Video",10000,720,6,31,"failed    "
"9384",266563953,2021,29,"CA","Games",10000,113,4,39,"failed    "
"9386",1918233763,2021,30,"NY","Film & Video",10000,30,3,71,"canceled  "
"9388",605165857,2022,30,"CA","Film & Video",10000,10,1,32,"failed    "
"9390",958456265,2022,60,"TX","Film & Video",10000,1,1,48,"failed    "
"9391",1284211605,2021,30,"PA","Games",10000,468,11,63,"failed    "
"9393",1902999427,2020,30,"CT","Games",10000,60,6,19,"failed    "
"9394",1210493383,2021,30,"TX","Games",10000,72,5,32,"failed    "
"9397",595618576,2023,30,"CA","Games",10000,221,6,48,"failed    "
"9399",1663749315,2022,30,"TX","Film & Video",10000,0,0,42,"failed    "
"9402",1324068136,2023,30,"TX","Games",10000,451,13,46,"failed    "
"9403",323862094,2022,45,"CA","Games",10000,871,7,41,"failed    "
"9407",1436287406,2021,30,"NY","Games",7991,50,4,54,"failed    "
"9408",1449135894,2020,60,"PA","Games",10000,107,7,60,"failed    "
"9410",776465160,2023,60,"PA","Film & Video",10000,71,3,39,"failed    "
"9413",305227541,2021,31,"CA","Art",10000,1,1,55,"failed    "
"9415",922939127,2024,31,"PA","Film & Video",10000,61,4,40,"failed    "
"9416",842582317,2020,30,"NY","Art",10000,0,0,49,"canceled  "
"9423",933387104,2023,30,"PA","Games",10000,13,4,46,"failed    "
"9424",892236118,2021,20,"CA","Film & Video",10000,1,1,33,"failed    "
"9425",1178207358,2020,30,"TX","Film & Video",10000,0,0,42,"failed    "
"9427",1691881332,2023,30,"PA","Film & Video",10000,1,1,57,"failed    "
"9429",653007795,2022,45,"NY","Film & Video",10000,78,1,62,"failed    "
"9431",1994749851,2024,14,"NY","Art",10000,1,1,31,"failed    "
"9432",1927152313,2021,60,"CA","Film & Video",7439,119,5,27,"canceled  "
"9433",2122853977,2025,30,"TX","Games",10000,839,23,56,"failed    "
"9435",781829086,2020,30,"CA","Games",10000,0,0,44,"canceled  "
"9436",1086365013,2021,26,"NY","Games",10000,51,3,45,"failed    "
"9437",810723591,2022,60,"CA","Film & Video",10000,0,0,60,"canceled  "
"9440",611353255,2022,30,"CA","Film & Video",10000,145,3,47,"failed    "
"9441",1081860551,2020,60,"TX","Film & Video",10000,0,0,60,"failed    "
"9442",365912012,2020,30,"PA","Games",10000,35,1,59,"canceled  "
"9444",1596706758,2025,20,"CA","Games",10000,281,4,48,"canceled  "
"9445",1058230542,2020,30,"NY","Film & Video",10000,0,0,47,"failed    "
"9447",159875043,2020,30,"CA","Games",10000,11,2,41,"failed    "
"9455",960262261,2024,60,"TX","Film & Video",10000,32,4,46,"failed    "
"9459",202079058,2022,30,"CA","Games",10000,315,13,44,"failed    "
"9460",1292357484,2020,30,"PA","Art",10000,41,3,36,"failed    "
"9464",1305709687,2020,33,"CA","Film & Video",10000,61,2,41,"canceled  "
"9465",827467678,2023,40,"CA","Games",10000,547,11,27,"failed    "
"9476",224689971,2025,50,"CA","Art",10000,1,1,67,"canceled  "
"9480",1993164572,2021,30,"CA","Games",10000,225,7,14,"canceled  "
"9481",242413652,2020,30,"CA","Film & Video",10000,50,1,45,"failed    "
"9483",927664470,2021,30,"NY","Film & Video",10000,1,1,45,"failed    "
"9485",546576595,2020,30,"NY","Film & Video",10000,55,2,48,"failed    "
"9487",1478708632,2024,60,"CA","Film & Video",10000,94,3,43,"failed    "
"9489",510726797,2020,30,"TX","Film & Video",10000,25,1,55,"failed    "
"9491",1922674567,2020,30,"NY","Games",10000,302,6,68,"failed    "
"9500",2085258943,2020,30,"CA","Games",10000,0,0,32,"failed    "
"9502",1049536671,2020,60,"CA","Film & Video",10000,0,0,50,"suspended "
"9503",300179667,2020,7,"PA","Film & Video",10000,0,0,28,"canceled  "
"9504",763886562,2024,30,"NY","Comics",10000,1,1,41,"failed    "
"9506",965275621,2022,30,"NY","Film & Video",10000,476,13,52,"failed    "
"9512",1221451580,2021,28,"CA","Film & Video",10000,263,7,40,"failed    "
"9516",780542295,2021,60,"NY","Film & Video",10000,400,8,45,"failed    "
"9517",334014962,2024,33,"NY","Dance",10000,808,12,66,"failed    "
"9522",946849211,2025,60,"NY","Film & Video",10000,567,19,36,"failed    "
"9524",1308155927,2022,30,"TX","Games",10000,200,2,34,"failed    "
"9528",808844746,2020,30,"CA","Film & Video",10000,0,0,53,"failed    "
"9529",1932208823,2024,36,"CA","Games",10000,150,6,58,"failed    "
"9533",1375220741,2021,33,"CA","Film & Video",10000,350,2,71,"canceled  "
"9534",834641205,2021,31,"NY","Comics",10000,214,5,48,"failed    "
"9537",1618294945,2020,30,"CA","Art",10000,140,3,57,"failed    "
"9539",2087286410,2020,30,"NY","Film & Video",10000,0,0,67,"canceled  "
"9543",337153609,2021,26,"CA","Games",10000,331,10,65,"failed    "
"9547",1500030337,2020,60,"NY","Film & Video",10000,0,0,41,"failed    "
"9548",147133891,2022,21,"NY","Film & Video",10000,445,8,39,"failed    "
"9549",518877996,2023,60,"CT","Games",10000,483,19,49,"failed    "
"9551",73428073,2021,30,"PA","Dance",10000,0,0,57,"failed    "
"9555",1794964546,2022,30,"CA","Dance",10000,0,0,42,"failed    "
"9556",586724758,2020,30,"CA","Film & Video",10000,0,0,52,"failed    "
"9558",753936786,2022,30,"NY","Film & Video",10000,101,2,55,"failed    "
"9559",418901122,2020,30,"CA","Film & Video",10000,0,0,45,"failed    "
"9566",601488614,2021,30,"NY","Film & Video",10000,133,8,40,"failed    "
"9571",623554885,2020,15,"CA","Art",10000,320,11,67,"failed    "
"9572",18882867,2021,30,"CA","Games",10000,516,16,51,"canceled  "
"9575",1617524443,2023,56,"NY","Film & Video",10000,135,4,36,"canceled  "
"9576",159228701,2020,45,"CA","Art",10000,150,1,66,"failed    "
"9578",1700981444,2023,60,"CA","Film & Video",10000,0,0,44,"failed    "
"9579",431625808,2020,30,"TX","Film & Video",10000,165,2,32,"failed    "
"9580",1542426207,2022,28,"CA","Dance",10000,470,9,46,"failed    "
"9581",1881653299,2021,59,"NY","Film & Video",10000,28,4,66,"failed    "
"9583",1280719664,2020,59,"CA","Film & Video",10000,125,4,33,"failed    "
"9586",1416583150,2025,30,"CA","Games",10000,719,29,42,"failed    "
"9589",1226012531,2025,60,"PA","Comics",10000,31,2,38,"failed    "
"9594",785413737,2021,45,"TX","Games",10000,20,2,44,"failed    "
"9600",915677102,2021,30,"NY","Art",10000,110,2,31,"failed    "
"9601",1616512171,2022,30,"TX","Film & Video",10000,16,2,45,"failed    "
"9602",600984566,2021,46,"CA","Film & Video",10000,365,7,44,"failed    "
"9604",1112595285,2023,10,"CA","Dance",10000,461,11,49,"failed    "
"9608",1152746998,2020,30,"CA","Games",10000,1,1,59,"failed    "
"9611",1688914843,2020,30,"CA","Film & Video",10000,0,0,56,"failed    "
"9612",821459484,2024,42,"CA","Art",10000,101,4,44,"suspended "
"9614",821618055,2024,60,"CA","Film & Video",10000,1,1,45,"canceled  "
"9615",1808619091,2024,60,"CA","Art",10000,21,2,55,"canceled  "
"9616",1030252468,2020,30,"CA","Film & Video",10000,0,0,57,"failed    "
"9618",698771845,2020,35,"CA","Film & Video",10000,100,1,46,"failed    "
"9621",798687585,2020,40,"NY","Games",10000,1,1,59,"failed    "
"9622",2045188751,2020,60,"CA","Film & Video",10000,110,1,43,"failed    "
"9624",145367412,2023,30,"CA","Games",10000,187,5,61,"failed    "
"9625",1042258680,2020,30,"NY","Film & Video",10000,815,6,43,"failed    "
"9626",1149635161,2021,60,"PA","Film & Video",11050,3,3,70,"failed    "
"9627",31178030,2021,30,"CA","Art",10000,61,4,65,"failed    "
"9628",328685426,2020,28,"NY","Games",10000,224,8,60,"failed    "
"9629",82213178,2020,30,"NY","Film & Video",10000,50,1,29,"failed    "
"9630",1053632140,2020,30,"CA","Comics",10000,0,0,61,"canceled  "
"9632",1007447362,2021,40,"CA","Film & Video",10000,61,3,58,"failed    "
"9634",1418739219,2021,30,"CA","Art",10000,0,0,34,"failed    "
"9635",330850100,2020,60,"CA","Film & Video",10000,110,2,49,"canceled  "
"9637",593143481,2021,60,"CA","Games",10000,25,1,53,"canceled  "
"9638",1335443010,2020,14,"NY","Games",10000,418,16,53,"canceled  "
"9640",679383786,2020,60,"NY","Art",10000,0,0,35,"failed    "
"9642",772915699,2021,58,"NY","Film & Video",10000,0,0,28,"failed    "
"9643",193235283,2020,30,"CA","Film & Video",10000,0,0,44,"failed    "
"9646",1070963407,2025,30,"CA","Film & Video",10000,51,2,61,"failed    "
"9650",1503639738,2020,30,"TX","Games",10000,0,0,73,"failed    "
"9654",1588540797,2020,30,"TX","Art",10000,100,1,29,"failed    "
